ID,"Search Query",Results,Hits
656,120BLK,1,2
655,121BLK,1,3
654,117RED,2,1
651,138TUR,1,1
650,172STW,1,3
647,1133BLU,1,2
643,"sofa covers",43,3
642,"leda desk",0,1
640,Elwood,0,1
639,camden,0,1
638,"Freeman leather",33,3
637,"Elora Floor Lamp",23,3
636,"Promenade Chairs, Red (Set of 2)",73,1
635,"Promenade Chair",62,1
634,"grand floor",19,2
633,"Elora Floor",19,3
632,"Crosby Chair in Beige",125,1
631,"2 x Wire Chair",185,2
630,"2 x Pierce Chair in Red",185,1
629,"Tweed chairs",42,3
627,"10% off",1,1
625,"fulham sofa",43,2
624,"leather armchair",32,1
623,dune,2,2
622,"assembly help",0,2
621,"office chair",57,1
620,"Grey tweed chairs",46,1
619,"volo ottoman",21,1
618,"volo design",0,1
617,"gray and black",68,1
616,"side tables",0,1
614,"floor lamp hinged",23,3
613,clint,0,1
612,"sinking chairs",16,1
610,"170 stool",11,1
609,170,1,1
608,129,4,1
607,121clr,0,3
606,121,8,2
605,1134,1,1
604,1133,1,1
603,1132,2,2
602,1131,1,1
601,1130,1,1
600,1129,1,1
599,1128,1,1
598,VOLO1092,0,1
597,3d,0,1
596,"milo chair",57,1
595,"emblem small",3,1
592,changer,0,1
591,"storage ottoman",21,1
590,"storage bench",3,1
589,"Round ottoman",22,1
588,hathawat,0,1
587,"steel and wood chairs",38,1
586,volowelcome,0,1
584,screen,0,1
583,"Fara Floor Lamp, Silver and Black",4,1
582,"steel and wood chair",74,2
581,1201wht1,0,1
580,"spencer stool",10,3
578,171wht,1,3
577,"Accent table",10,1
575,love,0,1
573,javiar,0,3
570,piazza,0,1
569,tempop,0,1
567,Nightstands,0,1
566,collion,0,1
564,rocking,0,1
563,hathaw,6,1
562,elephant,0,1
561,miton,0,1
560,empire,0,1
559,"leather sofa beds",53,1
557,"aluminum Chairs",17,1
556,1115RED,1,3
554,111117RED,0,1
553,114RED,1,2
551,116WHT,2,1
548,113WHT,1,1
545,115RED,2,1
543,Bookshelves,0,2
542,Book,0,2
541,"cary chair",57,2
540,"carry chair",57,2
539,"Promonade stools",4,1
538,"outdoor lounge",0,2
537,"minimalist outdoor lounge",0,1
536,"Living room",0,1
535,"Living room collections",0,1
534,draws,0,1
531,free,12,2
530,"Upholstered chairs",17,1
529,"Club chairs",17,1
528,1352,2,2
527,1352blk,0,2
526,1352bblk,0,1
525,"kate chairs",17,1
524,"tv stand",0,1
523,"leather sofa with chaise lounge",28,1
520,stirling,0,1
518,"fabric smaples",0,2
517,"Teak Dining Table",10,1
516,teak,1,1
515,1013FWD,1,2
514,Expra,0,2
513,"mint  bed pillows",0,1
512,"coral  bed pillows",0,2
511,"cameron gray",35,2
509,international,0,1
508,"international shipping",0,1
507,"international shippinh",0,1
506,"Kellan Sectional Sofa with Right Chaise,",24,2
505,recliners,0,2
504,1012FTGRYL,1,1
503,wardrobe,0,2
502,1054(1-8),0,1
501,1054,0,1
500,"DUET BUNK BEDS",0,1
499,"fabric swatch",0,1
498,poufs,0,1
497,Yellow,3,2
496,Credenza,0,1
495,"Organic couch",0,1
493,"Distressed leather sofas",6,2
492,provester@gmail.com,0,1
491,"freeman medium ottoman",20,1
490,"Molded Plywood",0,1
489,"Light Wood Smith Chair",55,1
488,swatches,0,2
487,"Ceiling lighting",0,1
486,"l-sectional chaise",7,1
485,slipcover,0,1
483,"armless sofa",23,3
482,"Distressed leather sectional",13,1
481,101,34,3
480,dressers,0,2
479,"Valet stand",0,1
478,"VOLO MODERN ECO-LEATHER BED W/ CURVES",0,1
477,bianca,0,1
476,"mid century modern design",0,1
475,"distressed leather chair",27,3
473,assembly,0,1
472,"Shipping to Hawaii",18,2
470,SF1646.2p,0,1
469,1353blk,0,1
468,1353,2,3
466,"Kingsley Swivel Chair",48,1
465,"Sherman Sofa",26,2
464,"Sherman Sofa, Gray Tweed",39,1
463,"Galvanized bar stools",8,1
462,"7 feet long sectional",27,1
461,pillows,0,2
459,1110,1,1
457,"expresso leather sofas",9,1
456,coffee,2,2
455,"VOLO DESIGN 1011FTGRYR",1,1
454,sofazdcsad,0,1
453,"Goodwin Sectional",8,1
452,"Goodwin Sectional Sofa with Right Chaise, Gray Tweed",54,1
449,swivel,0,3
448,gracesmith,0,1
446,owen,0,3
443,103,6,2
442,{},0,2
441,"Frances Castillo",0,1
439,returns,0,1
438,"cofee table",14,1
436,"aluminum chair",47,1
435,***,0,2
434,hotline,0,1
433,barstool,5,2
432,"bar stool",7,1
431,"Kellan Sectional Sofa with Left Chaise, Light Gray",55,2
430,mars,0,1
429,relax,0,1
427,"White James rocker",34,2
426,"James rocker collection",13,2
425,1120,2,2
423,"dining table cherry wood",1,1
422,"red sofas",1,1
418,benches,0,3
417,Gray,30,2
416,Grey,0,1
415,knoll,0,1
414,Pnzreba,0,1
413,loveeat,0,1
412,"express delivery",0,1
411,"side table",13,1
410,sleepers,0,3
407,setee,0,1
405,Collections,0,2
404,Kelley,0,1
402,"cooper gray tweed sofa",42,1
401,"gray ottomasn",28,1
400,"blue leather",9,1
398,"black emblem",23,2
397,-1',0,1
396,Tolix,0,1
395,Platner,0,2
392,gilt,0,1
391,78,0,1
390,jaden,0,2
389,Flame,0,1
388,141SIL,1,1
387,1011LNOATR,1,3
385,1011LNOATL,1,3
380,137WHT,1,2
379,137RED,1,2
374,112FTGRY,1,2
373,1113YEL,1,2
371,110FWLG,1,3
369,109LNOAT,1,2
368,109FWLG,1,2
367,108LNOAT,1,2
366,108FWLG,1,2
365,107LNOAT,2,3
364,107FWLG,1,2
363,107FTGRY,1,2
362,104LNOAT,1,3
355,armoire,0,3
354,"Carrera Sofa",21,1
353,Aspen,0,1
352,"Aspen 3 Seater",50,1
351,"Tempo Sofa Sleeper",23,1
350,"Light gray sectional",40,1
348,"cabinet consoles",0,2
346,light,15,3
345,nesting,0,1
343,modo,1,1
341,119wht,1,3
339,136blk,1,1
338,"vetro rocker",18,2
337,"3 seater sofas",50,1
336,theater,0,1
335,"grace chair",40,2
334,a,118,2
333,"freeman collection",12,3
331,teapot,0,1
330,"cooper arm chair",48,1
327,"REGISTER INTERIOR DESIGN",0,1
326,"INTERIOR DESIGN",0,1
324,"Tempo convertible sofa",23,2
323,1011FWLG,2,1
322,trade,0,1
321,"trade program",0,1
320,Chandaleir,0,1
319,"Hart well chair",40,1
317,"arm chairs",33,2
316,"grand lamp",19,1
315,"freeman leather sofa",33,1
314,"freeman sofa leather",33,1
312,"book case",8,1
311,arbre,0,3
310,home,0,1
308,M5887SL,1,1
306,M5928W,1,1
305,kelly,0,1
304,"cooper leather",19,2
303,"cooper grey sofa",31,1
302,other,0,1
301,114slu,0,1
300,"madison swivel",6,1
297,"madison dresser",13,1
296,"modo dresser",10,1
295,"madison rocker",19,3
294,red,8,3
293,"cameron s",154,1
292,"Owen Swivel Chair",43,3
291,"white kate",22,1
289,"Cooper Ottoman, Oatmeal Linen",34,1
287,"cooper sofa oatmeal",35,1
286,"Credit cards",0,1
285,"promenade stool",11,2
284,"emblem black",23,1
283,"emblem chairs",10,1
280,"shipping uk",0,1
279,delivery,0,2
278,futon,0,3
274,pikolin,0,1
273,"midtown club chair",40,2
271,nord,0,2
270,ziru,0,2
269,hathawaysofa,0,1
265,"Tufted sofa",21,1
264,armor,0,3
262,volo,0,2
261,wine,0,2
260,"wine cabinet",0,1
259,"wine rack",0,1
258,competition,0,2
257,TV,0,3
256,"LCD TV",0,1
253,108FTGRY,1,3
252,106LNOAT,1,3
249,105LNOAT,1,1
248,105FWLG,1,1
247,105FTGRY,1,1
242,102LNOAT,1,3
241,"PROMENADE DINING",5,2
240,"Storytime Double Bookcase",10,2
239,shelves,0,1
238,"metal shelves",0,2
237,"spruce tree",4,1
236,Freemn,0,1
233,"Hathaway Sofa in Grey Tweed",72,1
232,"Spruce tree white",23,1
228,"bed room",0,3
225,vanity,0,3
220,pendant,0,2
219,"Marie Chair",36,2
217,"Dressing tables",0,1
216,Volvo,0,1
215,sale,0,1
213,destressed,0,1
212,sleepytime,0,3
211,promendade,0,1
209,"Cooper seat",13,3
206,Promenad,2,1
203,"sleepytime rocker",18,3
200,return,0,3
199,"return policy",0,2
196,"nursery works",0,1
195,nurseryworks,0,2
194,dwell,0,1
192,"Leather sectional",27,3
190,cover,1,2
189,"replacement covers",0,1
188,"white chair",19,2
183,"Dining table",1,1
181,"Emblem Table",1,1
179,"television Console",0,1
178,"media storage",0,1
176,"bar cart",5,2
175,"Tempo sleep",0,1
172,Cleaning,0,2
171,"Care instructions",0,2
170,Care,0,2
169,"coffe table",1,1
168,"john lyle",0,1
166,"white floor lamp",2,1
165,"white floor lamps",2,2
163,cushion,0,2
162,"rocker chair",16,1
157,minmal,0,1
156,"jalen light",11,1
154,"red lamp",1,2
147,perch,6,1
139,spruce,2,2
137,"zuo bell curve ceiling",0,1
135,"volo desgin",0,1
132,"hathaway armchari",6,2
128,wite,0,1
127,1351wht,1,3
126,reviews,0,3
124,VOLO_132BLK,0,1
123,144WD,1,3
122,141BLK,1,2
121,142BLK,1,2
120,143BLK,0,2
119,134BLK,1,2
112,abdel,0,1
111,"blue chair and ottoman",37,2
109,"cooper chair",32,3
107,"merlow sectional",0,1
106,sectinoal,0,1
105,sectiona;,0,1
104,Ottomon,0,3
102,1116,2,2
101,1116BLK,1,3
98,stackable,0,1
96,table,9,1
95,buffet,0,2
94,entry,0,1
92,wall,0,1
91,seattle,0,1
89,mirrors,0,1
88,canvas,0,1
86,"kellan sectional sofa",13,3
81,"laminate dinning chair",24,1
80,"laminate chair",24,2
79,"Tifeny lamps",0,1
78,"Tifany lamps",0,2
77,lighting,0,3
76,"Dining12seat chair set",24,1
75,"Kellan Sectional",4,3
73,"Sectional Sofa",21,3
71,"Smith Bench, Light wood",22,1
70,112fwlg,1,3
69,"Florence Chair",24,1
68,1114,0,1
67,1114wht,0,1
66,"Cooper Armchair Distressed Brown",21,1
63,"Ming Chair White",37,1
62,"Freeman Armchair Oatmeal",24,1
61,"Gravity Stool Black",20,1
58,"Minimal Stool",5,1
57,"Gravity Stool, Black (set of 2)",32,1
56,"TRADEWINS A-AC-L DINING ARM CHAIRS",24,1
54,"Hathaway Armchair, Oatmeal",22,2
53,"Florence Chair, White (set of 2)",42,1
52,"dining sets",0,1
51,"marchella dining chairr",0,1
50,"Wishbone chair",24,1
49,"leather dinning chair",26,1
47,casters,0,1
46,"Cameron Ottoman in Light Gray",55,1
44,"ming chairs",11,1
39,stout,2,1
37,"Hathaway Armchair",16,1
35,"Harris Adjustable Barstool",5,1
33,"Ming Chairs, Galvanized",12,1
32,"Gravity Adjustable Barstools",5,1
30,teddy,0,2
29,"teddy fong",0,1
25,chairasdasdad,0,1
24,"Bean Bag, Gray",27,1
23,xyz,0,1
20,copper,0,1
17,julia,0,1
16,"Gravity Adjustab",3,1
14,ax,102,1
12,cart,0,3
11,"sof asd;lfkjals dkfja;lsdkfja;lskdjf;alskjf",15,1
9,sofas,0,2
6,Couch,0,3
5,asdasdsad,0,1
3,Test,0,2
2,invite,0,1
